"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","测试整数加法","script.test","2026-04-30","passed","2026-04-30","TestCalculator","test_calculator","",""
"","0","测试正常除法","script.test","2026-04-30","passed","2026-04-30","TestCalculator","test_calculator","",""
"","0","测试除零异常","script.test","2026-04-30","passed","2026-04-30","TestCalculator","test_calculator","",""
